File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_102_em_33.lg, Incorrect,8,0,8,8,0,0.12598815767,8,56,3,8,0,8,0,0,4,4,0,4,4,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_102_em_34.lg, Incorrect,33,1,32,32,0,0.0903133692253,25,600,18,32,0,24,0,0,19,19,0,19,18,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_102_em_35.lg, Incorrect,3,0,3,3,0,0.166666666667,4,12,2,3,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_102_em_36.lg, Incorrect,59,13,46,30,16,0.621092432319,13,156,4,35,8,0,6,3,5,8,0,1,0,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_37.lg, Incorrect,68,9,59,47,12,0.283124410078,24,552,15,50,6,0,6,3,16,17,0,13,13,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_38.lg, Incorrect,50,8,42,36,6,0.237809727515,24,552,15,39,3,0,0,0,16,16,0,13,11,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_39.lg, Incorrect,72,9,63,55,8,0.229382056083,29,812,18,57,4,0,4,2,19,14,0,12,11,8,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_40.lg, Incorrect,21,1,20,20,0,0.109995533895,17,272,12,20,0,0,0,0,13,12,0,12,12,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_41.lg, Incorrect,4,0,4,4,0,0.19245008973,4,12,2,4,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_102_em_42.lg, Incorrect,31,1,30,30,0,0.13030970383,17,272,9,30,0,0,0,0,10,9,0,9,9,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_43.lg, Incorrect,89,11,78,66,12,0.217317412871,36,1260,21,70,6,0,4,2,22,24,0,18,17,5,0,0,0,0,0,0,0,0
